Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2024-08-01,EQ,"1,655.00","1,659.00","1,630.00","1,651.65","1,632.65",1634.8,"1,642.86","1,741.00","1,419.05","7,47,329","1,22,77,55,642.90","57,340",1599.8482343284547,1600.5245370753698,1713.5669002447016
2024-08-02,EQ,"1,620.00","1,629.00","1,603.00","1,634.80","1,622.00",1623.45,"1,620.26","1,741.00","1,419.05","11,05,569","1,79,13,08,886.45","68,300",1600.7737937665547,1600.9785066382335,1712.6702146701275
2024-08-05,EQ,"1,590.00","1,605.00","1,562.00","1,623.45","1,564.40",1567.7,"1,577.43","1,741.00","1,419.05","20,58,076","3,24,64,78,317.60","1,12,538",1599.4767822462975,1600.3195263087637,1711.2277249719175
2024-08-06,EQ,"1,575.15","1,598.00","1,557.10","1,567.70","1,563.20",1564.1,"1,573.54","1,741.00","1,419.05","18,97,942","2,98,64,87,766.20","1,08,258",1598.0894574523252,1599.6023079660158,1709.763767509511
2024-08-07,EQ,"1,584.10","1,584.80","1,563.65","1,564.10","1,574.00",1571.4,"1,573.13","1,741.00","1,419.05","14,43,063","2,27,01,26,988.45","40,952",1597.042812062038,1599.0438464221345,1708.3870136039434
2024-08-08,EQ,"1,562.45","1,576.45","1,532.55","1,571.40","1,538.25",1540.05,"1,552.69","1,741.00","1,419.05","16,83,534","2,61,40,10,348.20","92,789",1594.8077998243114,1597.875651443478,1706.7120184437051
2024-08-09,EQ,"1,559.90","1,562.55","1,545.50","1,540.05","1,557.00",1560.2,"1,555.31","1,741.00","1,419.05","10,14,828","1,57,83,72,498.80","50,975",1593.4506312037502,1597.129598939647,1705.254187414415
2024-08-12,EQ,"1,557.00","1,570.85","1,548.10","1,560.20","1,557.40",1559.0,"1,561.48","1,741.00","1,419.05","11,25,254","1,75,70,59,111.75","51,376",1592.0996260585052,1596.3745573764854,1703.798921868003
2024-08-13,EQ,"1,554.00","1,569.00","1,537.05","1,559.00","1,543.95",1543.35,"1,550.94","1,741.00","1,419.05","18,17,066","2,81,81,53,307.40","1,11,780",1590.1878760169952,1595.3245661413075,1702.2024151827493
2024-08-14,EQ,"1,545.00","1,546.45","1,526.80","1,543.35","1,529.50",1529.15,"1,531.78","1,741.00","1,419.05","11,73,504","1,79,75,48,189.90","77,731",1587.7942338202504,1594.0141786929646,1700.4805006038166
2024-08-16,EQ,"1,539.00","1,552.45","1,523.25","1,529.15","1,550.00",1549.9,"1,541.11","1,741.00","1,419.05","18,41,887","2,83,85,59,405.35","85,055",1586.3081854351426,1593.140630600035,1698.9821871649729
2024-08-19,EQ,"1,563.90","1,563.90","1,545.05","1,549.90","1,551.00",1551.1,"1,551.50","1,741.00","1,419.05","9,40,893","1,45,97,97,814.05","84,351",1584.9274722808232,1592.3081428653804,1697.5107226160678
2024-08-20,EQ,"1,554.95","1,624.90","1,551.50","1,551.10","1,604.00",1602.1,"1,597.64","1,741.00","1,419.05","31,49,863","5,03,23,42,850.35","1,22,804",1585.6009047403986,1592.502041026462,1696.5613621920274
2024-08-21,EQ,"1,600.00","1,628.80","1,599.95","1,602.10","1,617.00",1620.95,"1,616.80","1,741.00","1,419.05","19,66,030","3,17,86,85,357.60","1,24,859",1586.987143770187,1593.06536694673,1695.8090103294203
2024-08-22,EQ,"1,624.80","1,630.00","1,614.05","1,620.95","1,625.00",1625.7,"1,624.73","1,741.00","1,419.05","13,25,535","2,15,36,35,703.20","1,46,376",1588.5052949948856,1593.7115973042205,1695.1114082365905
2024-08-23,EQ,"1,627.90","1,644.95","1,623.20","1,625.70","1,644.00",1639.9,"1,635.21","1,741.00","1,419.05","11,14,056","1,82,17,18,657.40","94,274",1590.5207736225373,1594.6262191397805,1694.562040990455
2024-08-26,EQ,"1,649.00","1,688.00","1,638.75","1,639.90","1,683.25",1686.2,"1,671.75","1,741.00","1,419.05","24,46,507","4,08,99,52,113.85","1,56,411",1594.272900147144,1596.4395613350323,1694.4788366024904
2024-08-27,EQ,"1,686.20","1,729.00","1,652.00","1,686.20","1,727.60",1719.0,"1,697.63","1,741.00","1,419.05","42,05,533","7,13,94,18,956.00","2,13,278",1599.164158964903,1598.8665007145366,1694.7228282780875
