Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2024-09-27,EQ,"7,780.00","7,810.00","7,711.00","7,768.40","7,748.00",7756.0,"7,763.32","8,192.00","6,187.80","11,78,131","9,14,62,05,846.85","1,11,773",7203.325755389589,7086.027478976168,7042.99500868763
2024-09-30,EQ,"7,746.00","7,824.00","7,676.15","7,756.00","7,697.85",7703.0,"7,748.89","8,192.00","6,187.80","9,61,952","7,45,40,56,729.75","84,170",7222.9208238056835,7098.244756620204,7049.562222531534
2024-10-01,EQ,"7,660.10","7,814.65","7,651.00","7,703.00","7,722.00",7703.0,"7,738.32","8,192.00","6,187.80","7,88,288","6,10,00,25,321.10","1,15,033",7241.747458166245,7110.220107974259,7056.064090964056
2024-10-03,EQ,"7,610.00","7,700.00","7,381.00","7,703.00","7,417.60",7433.85,"7,521.47","8,192.00","6,187.80","10,40,662","7,82,73,07,308.50","1,44,760",7249.280891179334,7116.628620687639,7059.823154735558
2024-10-04,EQ,"7,420.00","7,430.00","7,155.00","7,433.85","7,221.00",7211.35,"7,271.26","8,192.00","6,187.80","17,68,111","12,85,63,97,662.15","1,77,344",7247.793405250733,7118.504291565112,7061.330884539185
2024-10-07,EQ,"7,211.35","7,324.00","7,190.30","7,211.35","7,260.00",7269.4,"7,253.42","8,173.00","6,187.80","9,36,227","6,79,08,43,408.10","1,00,138",7248.640722691881,7121.492325395506,7063.401223996507
2024-10-08,EQ,"7,264.85","7,295.40","7,160.05","7,269.40","7,215.00",7186.95,"7,214.24","8,173.00","6,187.80","9,03,805","6,52,02,66,871.70","1,14,674",7246.221478664748,7122.788516971832,7064.630565051269
2024-10-09,EQ,"7,216.00","7,426.80","7,206.10","7,186.95","7,308.45",7300.45,"7,341.32","8,173.00","6,187.80","10,54,375","7,74,05,02,166.75","1,07,226",7248.348087344562,7126.306566140706,7066.97702709056
2024-10-10,EQ,"7,320.00","7,368.00","7,273.00","7,300.45","7,329.00",7319.7,"7,325.48","8,173.00","6,187.80","5,59,427","4,09,80,68,992.95","70,390",7251.146201566345,7130.136139088415,7069.491683537421
2024-10-11,EQ,"7,325.00","7,330.00","7,226.05","7,319.70","7,300.10",7302.0,"7,282.11","8,173.00","6,187.80","3,61,587","2,63,31,16,713.40","45,268",7253.140468171586,7133.539383858941,7071.805199124114
