Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2024-03-04,EQ,538.0,539.7,531.8,538.6,537.05,537.3,536.13,597.1,503.65,"20,30,164","1,08,84,24,988.05","26,236",541.1015834568688,543.1596682875901,545.9650654746283
2024-03-05,EQ,535.15,536.8,533.05,537.3,534.2,534.75,535.43,597.1,503.65,"14,64,768","78,42,74,352.20","23,421",540.8525017526779,542.9931402026873,545.8534727833385
2024-03-06,EQ,534.8,536.0,528.25,534.75,531.5,531.5,530.93,597.1,503.65,"10,82,367","57,46,63,112.20","24,789",540.4857369780631,542.7655532679806,545.7106521586287
2024-03-07,EQ,531.5,537.75,530.5,531.5,534.0,535.25,534.63,597.1,503.65,"8,94,981","47,84,80,841.40","22,394",540.2804139593155,542.616730430991,545.6065660674981
2024-03-11,EQ,535.25,538.4,531.6,535.25,532.15,533.4,535.31,597.1,503.65,"9,84,138","52,68,18,286.10","28,392",540.0105938040482,542.434220917506,545.4851076986673
2024-03-12,EQ,530.55,532.3,525.85,533.4,528.0,529.0,528.83,597.1,503.65,"10,11,782","53,50,59,236.95","39,246",539.5788058117326,542.1681967409216,545.3210767762926
2024-03-13,EQ,529.55,531.4,515.8,529.0,522.0,519.95,521.87,597.1,503.65,"26,66,699","1,39,16,70,929.30","48,323",538.8090487210765,541.7282324490221,545.0686282511554
2024-03-14,EQ,517.0,530.8,516.15,519.95,527.55,529.65,527.9,597.1,503.65,"20,47,715","1,08,09,81,218.75","50,889",538.4498703398577,541.4890595292395,544.9152090645767
2024-03-15,EQ,528.95,530.35,524.25,529.65,527.0,526.55,527.25,597.1,503.65,"17,10,825","90,20,35,082.60","38,390",537.9832087579025,541.1932365682645,544.7324706659242
2024-03-18,EQ,526.55,526.55,521.1,526.55,523.0,523.6,523.75,597.1,503.65,"12,47,334","65,32,95,002.60","32,757",537.4191613556318,540.8448556461207,544.5221973259647
2024-03-19,EQ,523.25,530.0,516.55,523.6,518.2,518.35,519.44,597.1,503.65,"20,71,489","1,07,60,14,382.95","24,996",536.6713511063914,540.3994129600588,544.2617774520745
2024-03-20,EQ,518.35,521.2,512.0,518.35,520.0,520.2,517.75,597.1,503.65,"9,25,067","47,89,55,815.75","22,286",536.0254157688859,539.9994245846121,544.0223567809096
2024-03-21,EQ,522.25,525.65,518.5,520.2,524.55,523.95,523.33,597.1,503.65,"9,73,386","50,94,04,820.85","15,633",535.551870052459,539.681614196798,543.822631837816
2024-03-22,EQ,524.0,527.35,519.0,523.95,521.0,520.8,520.96,597.1,503.65,"10,72,318","55,86,40,029.50","29,627",534.9733653445194,539.3077208463664,543.5935509240069
2024-03-26,EQ,512.6,522.25,512.6,520.8,521.0,521.1,519.42,597.1,503.65,"19,61,179","1,01,86,68,570.50","28,170",534.4293118015971,538.9471719187155,543.3697344969024
2024-03-27,EQ,524.0,524.4,519.1,521.1,522.4,521.65,521.47,597.1,503.65,"26,38,465","1,37,58,88,771.70","47,446",533.9281623191816,538.6046536628994,543.1536177357392
2024-03-28,EQ,522.0,526.0,517.75,521.65,522.3,523.15,522.36,597.1,503.65,"23,12,982","1,20,82,09,770.05","28,506",533.5054892870569,538.2986209170995,542.9545767632443
2024-04-01,EQ,523.5,530.6,523.5,523.15,529.4,529.15,527.85,597.1,503.65,"8,47,682","44,74,47,956.20","24,279",533.3346857856037,538.1174601068599,542.8172177904758
2024-04-02,EQ,529.15,532.55,527.65,529.15,531.0,531.6,530.88,597.1,503.65,"11,75,093","62,38,28,852.60","19,960",533.2666588920507,537.9884014908824,542.7056036831078
2024-04-03,EQ,530.9,532.4,528.6,531.6,530.85,531.0,530.72,597.1,503.65,"11,76,084","62,41,71,120.75","27,565",533.1777703080488,537.8500173029441,542.5891300146193
2024-04-04,EQ,531.0,531.95,502.3,531.0,507.25,506.05,510.65,597.1,502.3,"1,04,45,923","5,33,42,55,489.75","1,51,650",532.1139361783214,537.2203139900146,542.225556581638
2024-04-05,EQ,510.0,510.0,504.0,506.05,508.15,507.9,507.14,597.1,502.3,"76,15,006","3,86,18,58,027.80","1,08,195",531.1643700536814,536.6397137129846,541.8840087549551
2024-04-08,EQ,508.05,509.85,502.2,507.9,503.35,503.05,504.74,597.1,502.2,"36,02,540","1,81,83,60,302.40","57,633",530.0618457378507,535.9745708671829,541.4976007076422
2024-04-09,EQ,506.5,508.5,502.5,503.05,503.2,503.15,505.32,597.1,502.2,"22,17,268","1,12,04,34,928.05","37,997",529.0064792383272,535.3245793648624,541.116032541397
