Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2024-08-12,EQ,"1,176.00","1,184.35","1,166.05","1,186.15","1,172.65",1170.8,"1,174.99","1,269.00",828.25,"7,87,584","92,54,07,144.65","52,309",1160.7043012208098,1136.3335599984482,1082.6193575188636
2024-08-13,EQ,"1,172.70","1,182.75","1,167.60","1,170.80","1,180.85",1178.8,"1,177.56","1,269.00",828.25,"7,85,371","92,48,20,661.10","43,592",1161.4139364670527,1137.1744796024393,1083.576378837084
2024-08-14,EQ,"1,187.00","1,187.10","1,158.70","1,178.80","1,167.40",1167.55,"1,168.50","1,269.00",828.25,"9,91,108","1,15,81,13,289.55","63,434",1161.6545664095213,1137.7759750558562,1084.4119372566154
2024-08-16,EQ,"1,168.00","1,190.65","1,168.00","1,167.55","1,187.15",1187.75,"1,182.59","1,269.00",828.25,"8,31,846","98,37,33,782.40","46,146",1162.6779167464028,1138.7655597082155,1085.4401766868978
2024-08-19,EQ,"1,198.00","1,200.00","1,171.55","1,187.75","1,176.50",1177.4,"1,178.63","1,269.00",828.25,"6,82,374","80,42,64,767.65","35,525",1163.2552533445833,1139.530598129835,1086.355199804441
2024-08-20,EQ,"1,182.95","1,182.95","1,166.75","1,177.40","1,171.45",1171.2,"1,171.67","1,269.00",828.25,"6,73,329","78,89,16,982.45","40,642",1163.5668120369526,1140.1577149985512,1087.199426672059
2024-08-21,EQ,"1,171.95","1,181.00","1,167.05","1,171.20","1,180.00",1177.55,"1,173.80","1,269.00",828.25,"8,02,420","94,18,79,805.10","37,354",1164.115172349229,1140.8981562857086,1088.098437351939
2024-08-22,EQ,"1,184.05","1,209.85","1,181.00","1,177.55","1,206.00",1205.8,"1,201.00","1,269.00",828.25,"20,41,300","2,45,15,98,939.70","75,703",1165.7498714727883,1142.1833413097538,1089.2695971792832
2024-08-23,EQ,"1,212.00","1,215.00","1,194.90","1,205.80","1,196.00",1196.8,"1,203.98","1,269.00",828.25,"8,52,159","1,02,59,78,656.50","34,002",1166.9675235718948,1143.26485930362,1090.3395514362055
2024-08-26,EQ,"1,205.00","1,221.85","1,194.05","1,196.80","1,220.00",1220.05,"1,214.51","1,269.00",828.25,"10,45,317","1,26,95,47,779.20","51,598",1169.0491893141734,1144.785357139192,1091.6302026656963
2024-08-27,EQ,"1,220.00","1,220.55","1,208.00","1,220.05","1,210.00",1209.6,"1,213.04","1,269.00",828.25,"4,83,025","58,59,26,454.60","26,355",1170.639417184206,1146.0688154136633,1092.8040314948937
